TIME;2011;;2012;;2013;;2014;;2015;;2016;;2017;;2018;;2019;;2020;;2021;;2022;
GEO (Labels);;;;;;;;;;;;;;;;;;;;;;;;
European Union - 27 countries (from 2020);534 033;;535 042;;533 550;;547 177;;540 751;;545 754;;551 259;;503 764;;514 914;;495 560;;513 925;;488 144;
Euro area – 20 countries (from 2023);:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
Euro area - 19 countries  (2015-2022);:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
Belgium;172 906;;190 288;;187 404;;190 303;;188 158;;192 938;;201 129;;151 972;b;155 695;;156 131;;166 160;;163 023;
Bulgaria;14 448;;16 378;;16 726;;16 922;;17 201;;17 467;;16 247;;15 462;;18 735;;18 924;;18 093;;12 548;
Czechia;911;;838;;608;;802;;850;;832;;510;;390;;779;;397;;344;;317;
Denmark;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
Germany;221 966;;223 170;;226 864;;228 489;;221 369;;221 349;;222 731;;197 904;;205 066;;188 022;;195 093;;182 448;
Estonia;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
Ireland;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
Greece;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
Spain;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
France;67 656;;68 542;;68 059;;65 139;;62 808;;65 189;;63 253;;59 529;;64 207;;55 979;;57 109;;53 201;
Croatia;5 184;;5 934;;5 823;;5 377;;6 642;;6 409;;6 221;;5 182;;6 491;;7 077;;6 548;;4 626;
Italy;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
Cyprus;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
Latvia;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
Lithuania;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
Luxembourg;8 956;;8 506;;8 987;;8 390;;7 106;;6 035;;6 163;;5 741;;6 433;;5 755;;6 221;;5 652;
Hungary;7 175;;8 135;;7 857;;7 825;;8 163;;8 224;;8 414;;6 926;;8 592;;8 803;;8 022;;5 921;
Malta;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
Netherlands;345 469;;343 029;;348 426;;357 738;;349 717;;354 587;;359 356;;349 480;;347 714;;335 892;;357 594;;345 479;
Austria;9 943;;10 714;;10 710;;10 122;;8 599;;9 071;;9 620;;7 202;;8 512;;8 247;;8 271;;6 374;
Poland;3 143;;2 574;;3 185;;5 899;;5 036;;3 911;;3 604;;3 126;;2 870;;2 517;;2 075;;918;
Portugal;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
Romania;29 396;;27 946;;26 858;;27 834;;30 020;;30 484;;29 043;;29 714;;33 261;;30 518;;32 120;;28 620;
Slovenia;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
Slovakia;8 211;;8 242;;8 107;;7 010;;5 721;;6 758;;6 896;;5 567;;6 430;;6 004;;6 013;;5 174;
Finland;:;;:;;:;;:;;:;;:;;:;;:;;527;;512;;579;;721;
Sweden;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;2 455;
Iceland;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
Liechtenstein;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
Norway;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
Switzerland;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
United Kingdom;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
Montenegro;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
North Macedonia;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
Albania;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
Serbia;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
Türkiye;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
