TIME;2011;;2012;;2013;;2014;;2015;;2016;;2017;;2018;;2019;;2020;;2021;;2022;
GEO (Labels);;;;;;;;;;;;;;;;;;;;;;;;
European Union - 27 countries (from 2020);:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
Euro area – 20 countries (from 2023);:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
Euro area - 19 countries  (2015-2022);:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
Belgium;55 876;;:;;:;c;:;c;:;c;:;c;:;c;:;c;:;c;:;c;:;c;:;c
Bulgaria;14 152;;12 470;;13 539;;13 691;;14 635;;14 226;;16 030;;14 796;;14 948;;16 374;;18 048;;19 291;
Czechia;87 096;;82 968;;83 957;;91 556;;97 280;;98 034;;96 516;;99 307;;98 804;;90 902;;99 550;;90 797;
Denmark;9 276;;7 982;;7 956;;8 082;;8 652;;9 383;;9 314;;9 097;;8 512;;8 615;;6 936;;7 759;
Germany;374 737;;366 140;;373 738;;365 003;;367 314;;396 326;;370 722;;356 299;;364 120;;325 303;;363 646;;358 858;
Estonia;48 378;;44 725;;43 682;;36 289;;28 026;;25 364;;27 256;;27 813;;21 341;;15 801;;23 306;;17 713;
Ireland;611;;567;;589;;578;;540;;581;;546;;516;;346;;449;;415;;419;
Greece;2 702;;2 272;;1 980;;2 143;;1 404;;1 094;;1 328;;:;c;:;c;:;c;:;c;:;c
Spain;23 899;;24 903;;24 949;;28 436;;28 960;;26 504;;27 654;;27 161;;26 268;;22 254;;24 716;;24 895;
France;91 789;;87 539;;92 712;;90 826;;102 743;;96 702;;98 573;;89 457;;91 997;;83 143;;94 613;;89 590;
Croatia;11 794;;11 088;;10 661;;10 390;;9 939;;9 985;;12 178;;13 444;;14 449;;14 992;;15 176;;16 257;
Italy;91 811;;88 505;;87 960;;90 862;;92 273;;92 949;;94 287;;97 197;;94 295;;90 529;;104 213;;104 542;
Cyprus;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
Latvia;59 385;;60 601;;55 831;;57 039;;55 645;;47 819;;43 785;;49 260;;41 490;;24 056;;21 772;;21 305;
Lithuania;52 330;;49 377;;48 028;;49 000;;48 053;;47 651;;52 638;;56 776;;55 209;;53 430;;51 080;;30 977;
Luxembourg;6 973;;5 442;;5 098;;4 573;;5 207;;4 482;;4 406;;4 585;;4 405;;3 627;;3 713;;3 464;
Hungary;47 424;;46 884;;49 085;;50 593;;50 333;;50 047;;52 682;;52 471;;52 270;;51 892;;51 031;;51 696;
Malta;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
Netherlands;39 174;;37 627;;38 927;;39 367;;41 721;;42 615;;41 190;;41 558;;42 654;;40 017;;42 621;;44 469;
Austria;107 587;;100 452;;96 449;;100 267;;100 163;;102 835;;107 579;;105 271;;102 575;;97 512;;103 729;;102 710;
Poland;248 606;;230 878;;232 596;;227 820;;224 320;;222 523;;239 501;;249 260;;233 744;;218 381;;237 915;;237 587;
Portugal;9 975;;9 701;;9 291;;10 276;;11 108;;10 259;;10 453;;10 221;;9 365;;8 426;;9 057;;8 366;
Romania;60 723;;55 755;;50 348;;50 739;;55 306;;52 618;;56 083;;55 429;;58 808;;49 670;;57 424;;55 188;
Slovenia;17 024;;15 828;;17 156;;17 989;;17 832;;18 595;;21 275;;21 316;;21 902;;19 398;;20 339;;20 459;
Slovakia;43 711;;42 599;;48 401;;50 997;;47 358;;47 548;;47 760;;49 642;;46 413;;41 572;;49 944;;46 712;
Finland;34 827;;35 267;;36 433;;37 008;;33 392;;36 162;;38 468;;40 721;;38 464;;38 406;;40 180;;31 229;
Sweden;67 907;;65 789;;67 047;;68 035;;64 999;;67 479;;69 350;;69 123;;68 220;;69 805;;72 458;;:;c
Iceland;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
Liechtenstein;1 172;;1 168;;1 037;;:;c;:;c;:;c;:;c;:;c;:;c;:;c;:;c;1 216;
Norway;28 305;;30 273;;31 429;;33 393;;31 585;;33 260;;34 974;;34 981;;34 563;;36 822;;37 550;;33 496;
Switzerland;65 038;;60 270;;64 999;;65 375;;66 089;;67 846;;67 157;;68 719;;68 658;;64 987;;67 901;;69 319;
United Kingdom;100 364;;115 225;;117 769;;108 531;;96 821;;78 549;;76 393;;75 399;;71 053;;:;;:;;:;
Bosnia and Herzegovina;:;;:;;:;;13 506;;13 677;;13 155;;13 254;;13 514;;13 693;;11 414;;12 305;;12 685;
Montenegro;:;;:;;1 050;;903;;987;;1 395;;1 603;;966;;1 131;;1 154;;:;;:;
North Macedonia;2 770;;2 539;;2 283;;2 377;;1 566;;1 358;;1 558;;1 679;;1 839;;1 765;;1 963;;1 418;
Albania;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
Serbia;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
Türkiye;24 753;;24 887;;25 053;;26 764;;24 286;;24 546;;28 287;;28 484;;33 285;;34 374;;38 155;;:;
