TIME;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
GEO (Labels);;;;;;;;;;;;
European Union - 27 countries (from 2020);13 510 896;12 498 284;12 423 053;12 640 316;12 655 191;12 796 811;13 241 840;13 230 394;13 527 022;13 003 185;13 651 391;13 589 283
Euro area – 20 countries (from 2023);:;:;:;:;:;:;:;:;:;:;:;:
Euro area - 19 countries  (2015-2022);:;:;:;:;:;:;:;:;:;:;:;:
Belgium;289 203;291 380;300 608;299 476;295 057;291 521;300 121;285 505;283 945;273 251;277 828;273 307
Bulgaria;135 328;140 274;160 127;153 077;161 567;146 636;151 479;143 199;114 574;136 229;157 376;160 488
Czechia;349 278;339 314;351 517;386 243;438 907;431 889;459 433;479 235;504 099;459 703;500 288;473 688
Denmark;178 006;176 354;173 917;178 146;181 232;184 726;179 062;167 534;167 747;178 098;171 555;174 842
Germany;2 986 736;2 891 837;2 938 701;3 052 628;3 035 329;3 111 858;3 161 837;3 200 925;3 208 232;3 119 646;3 107 981;3 060 964
Estonia;32 913;31 321;31 080;27 358;28 162;34 581;28 969;28 494;28 373;23 281;28 894;27 156
Ireland;109 661;106 465;107 222;112 825;117 090;140 743;146 543;148 765;158 396;139 987;153 466;162 902
Greece;505 986;400 124;436 233;403 327;420 005;419 222;388 898;361 947;354 081;289 246;270 994;290 027
Spain;1 466 146;1 238 703;1 124 480;1 184 586;1 258 261;1 285 164;1 409 090;1 474 486;1 542 109;1 467 774;1 626 362;1 587 697
France;2 090 616;2 008 370;1 999 869;1 918 572;1 796 755;1 727 611;1 714 292;1 619 364;1 634 946;1 508 016;1 648 948;1 631 139
Croatia;74 657;65 453;67 512;66 157;66 503;72 516;72 343;74 009;81 125;80 707;84 968;86 417
Italy;1 339 672;1 121 313;1 023 872;963 056;957 006;901 503;885 451;920 732;978 883;933 601;987 085;1 047 318
Cyprus;26 050;22 964;16 122;14 585;14 402;19 682;25 595;29 308;29 361;26 041;27 670;38 550
Latvia;53 936;52 622;60 610;62 239;62 569;63 389;68 013;76 701;73 755;75 660;81 562;80 906
Lithuania;46 019;48 428;52 346;57 591;58 601;63 571;76 980;89 105;100 802;107 042;113 135;100 752
Luxembourg;60 687;54 482;51 480;58 723;45 715;50 824;47 292;48 846;55 303;44 931;48 225;50 339
Hungary;182 839;165 514;169 211;193 112;198 744;197 759;188 250;206 669;202 631;188 118;219 919;204 708
Malta;:;:;:;:;:;:;:;:;:;:;:;:
Netherlands;658 030;631 891;642 146;639 777;641 538;656 428;666 069;680 065;688 837;684 348;701 990;694 946
Austria;344 737;333 963;325 475;349 544;351 068;376 399;386 858;393 313;402 083;373 064;403 502;390 419
Poland;1 322 237;1 245 053;1 300 608;1 300 382;1 264 960;1 313 657;1 501 811;1 390 184;1 506 450;1 500 104;1 580 517;1 599 513
Portugal;217 186;154 484;148 177;149 829;150 358;147 792;157 924;156 650;155 866;131 115;147 065;143 483
Romania;183 935;188 611;191 554;190 938;198 824;216 107;226 345;237 157;256 641;266 547;306 805;324 554
Slovenia;75 615;62 759;65 340;74 143;70 509;75 033;86 212;85 406;91 775;90 870;98 910;103 842
Slovakia;132 690;132 270;129 032;142 608;147 225;156 179;176 750;177 131;187 184;168 653;154 828;160 802
Finland;317 740;299 397;274 637;280 131;271 912;278 957;280 744;274 346;270 462;261 920;259 023;243 739
Sweden;330 992;294 939;281 177;381 263;422 891;433 065;455 480;481 319;449 362;475 232;492 496;476 784
Iceland;:;:;:;:;:;:;:;:;:;:;:;:
Liechtenstein;600;550;651;:;:;:;:;:;:;:;:;:
Norway;256 418;251 512;271 349;293 231;283 172;268 120;255 470;254 346;244 312;243 236;266 275;266 855
Switzerland;303 014;300 479;295 647;303 167;289 215;284 617;291 346;292 912;301 103;316 299;287 868;307 601
United Kingdom;1 486 133;1 464 456;1 348 987;1 348 887;1 468 144;1 450 280;1 417 482;1 425 190;1 470 486;:;:;:
Montenegro;:;:;:;:;:;839;836;808;885;800;793;:
North Macedonia;:;:;:;:;:;:;:;:;:;4 991;4 932;:
Albania;:;:;:;:;:;:;:;:;:;:;:;:
Serbia;:;:;:;:;:;:;:;:;:;:;:;:
Türkiye;:;:;:;:;:;:;:;:;:;:;:;:
