TIME;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
GEO (Labels);;;;;;;;;;;;
European Union - 27 countries (from 2020);3 266 566;3 241 805;3 215 906;3 287 210;3 343 755;3 376 704;3 476 076;3 584 537;3 587 258;3 325 646;3 462 559;:
Euro area – 20 countries (from 2023);:;:;:;:;:;:;:;:;:;:;:;:
Euro area - 19 countries  (2015-2022);:;:;:;:;:;:;:;:;:;:;:;:
Belgium;232 789;223 987;228 130;237 852;241 459;253 543;257 865;270 317;277 783;268 675;288 827;:
Bulgaria;25 185;26 012;28 841;27 235;27 166;28 685;30 953;27 868;30 997;25 258;25 576;30 731
Czechia;:;:;:;:;:;:;:;:;:;:;:;:
Denmark;92 613;87 827;88 406;92 244;95 098;95 829;94 638;95 989;93 727;91 382;94 255;:
Germany;296 037;298 758;297 281;303 742;295 918;297 137;299 189;296 181;294 533;275 731;289 130;279 177
Estonia;48 479;43 519;42 908;43 578;34 965;33 596;34 801;35 947;37 760;37 741;39 436;33 335
Ireland;45 078;47 649;46 722;47 483;50 666;50 758;53 351;55 120;53 251;51 425;54 027;53 482
Greece;135 314;153 317;160 986;168 501;167 036;175 100;181 261;190 523;194 468;178 339;178 205;:
Spain;403 834;419 865;397 462;427 672;447 023;451 255;483 679;497 812;496 912;455 511;477 021;489 714
France;322 254;303 269;303 031;298 203;297 880;292 160;302 840;308 629;302 288;274 511;277 623;:
Croatia;21 862;18 972;19 366;18 603;18 930;18 551;20 798;21 573;20 580;21 410;21 644;23 607
Italy;499 885;476 823;457 078;443 141;458 020;461 990;475 164;501 958;508 074;469 635;501 603;:
Cyprus;6 564;6 236;7 172;7 186;10 268;10 259;7 860;6 948;7 428;7 473;6 985;:
Latvia;67 016;72 723;67 148;71 836;67 811;60 962;58 687;62 660;59 046;42 099;39 705;46 073
Lithuania;42 661;41 033;39 757;41 105;43 128;46 236;49 856;52 462;52 244;51 529;49 385;40 015
Luxembourg;:;:;:;:;:;:;:;:;:;:;:;:
Hungary;:;:;:;:;:;:;:;:;:;:;:;:
Malta;3 345;3 326;3 101;3 460;3 705;3 788;4 114;4 559;5 195;5 738;3 370;4 888
Netherlands;550 745;557 264;558 542;571 636;594 272;588 772;595 810;604 542;607 527;557 583;589 706;596 425
Austria;:;:;:;:;:;:;:;:;:;:;:;:
Poland;57 738;58 825;64 282;68 744;69 530;72 926;78 076;91 798;93 864;88 520;96 663;118 958
Portugal;67 506;67 875;78 244;80 156;86 769;91 344;93 356;90 361;85 320;79 371;83 080;:
Romania;38 918;39 520;43 577;43 753;44 533;46 295;46 182;49 107;53 101;47 220;53 121;60 260
Slovenia;16 198;16 907;17 184;18 012;19 931;21 171;22 311;23 127;22 114;18 314;20 060;22 387
Slovakia;:;:;:;:;:;:;:;:;:;:;:;:
Finland;115 452;105 120;105 117;105 537;99 962;105 022;109 320;117 108;120 488;109 211;102 518;105 092
Sweden;177 093;172 976;161 570;167 530;169 685;171 324;175 964;179 949;170 557;168 970;170 619;172 055
Iceland;6 105;6 389;6 833;6 674;7 137;7 446;7 672;7 263;7 662;6 969;7 664;:
Liechtenstein;:;:;:;:;:;:;:;:;:;:;:;:
Norway;198 970;205 959;207 057;200 812;193 605;200 143;210 649;215 438;211 207;222 829;225 781;:
Switzerland;:;:;:;:;:;:;:;:;:;:;:;:
United Kingdom;519 495;500 860;503 324;503 171;496 708;484 048;481 815;483 305;486 094;:;:;:
Montenegro;:;1 163;1 267;1 241;1 487;1 617;2 096;1 956;2 035;2 044;1 859;:
North Macedonia;:;:;:;:;:;:;:;:;:;:;:;:
Albania;:;:;:;:;:;:;:;:;:;:;:;:
Serbia;:;:;:;:;:;:;:;:;:;:;:;:
Türkiye;359 082;374 714;379 400;378 688;411 783;425 853;465 981;454 370;478 116;490 556;519 907;535 825
